"LabCode"	"Sex"	"Age"	"Ancy"	"Cysto"	"Tri"	"Tani"	"Dipy"	"Meso"	"Spiru"	"IgA"	"IgG"	"mucin"	"censor"	"age"	"Clan"	"age_death"	"rich_a"	"year"	"IMDS1"	"IMDS2"	"PMDS1"	"PMDS2"	"Diphyllobothrium"
"32A"	"2"	"3"	0	0	0	0	0	0	0	NA	NA	NA	0	1445	"M"	2003	1	"2015"	NA	NA	-1.28857580067895	-0.0368980129783225	1525
"98F"	"1"	"1"	200	200	0	0	0	0	0	NA	NA	NA	0	706	"M"	2003	1	"2013"	NA	NA	0.627465769854852	0.531121573734054	0
"99F"	"1"	"1"	25	150	0	0	0	0	0	NA	NA	NA	0	519	"M"	1858	1	"2013"	NA	NA	0.899777318881053	0.482116849154531	0
"33A"	"2"	"3"	0	0	0	0	0	0	0	NA	NA	46.11438885	0	1243	"M"	1807	1	"2015"	NA	NA	-1.28857580067895	-0.0368980129783225	1125
"372"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	125092.1618	13.80508038	23.57881561	0	1990	"M"	1807	NA	"2017"	0.259576694537337	-0.284284865946025	NA	NA	NA
"278"	"1"	"1"	75	0	0	0	0	225	0	NA	NA	183.4221534	0	645	"M"	1479	2	"2015"	NA	NA	-0.245116764749887	-1.1311538902409	200
"34A"	"2"	"3"	0	0	0	0	0	0	0	NA	NA	NA	0	792	"M"	1356	1	"2015"	NA	NA	-1.28857580067895	-0.0368980129783225	850
"19M"	"1"	"3"	175	0	0	0	0	50	0	1874.400857	NA	37.67003721	0	NA	"I"	NA	1	"2015"	NA	NA	0.53530598899581	-0.231000720039638	0
"35A"	"2"	"3"	0	0	0	0	0	75	0	NA	NA	NA	0	736	"M"	1313	2	"2015"	NA	NA	-0.786435149894884	-1.26237601965819	400
"369"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	120845.561	43.70784122	45.80945268	0	1472	"M"	1292	NA	"2017"	0.185578902540521	-0.136476859811401	NA	NA	NA
"11M"	"1"	"3"	75	25	0	0	0	0	0	3011.392863	25.59648348	24.68154505	0	NA	"M"	NA	2	"2015"	-0.133241187581026	0.133962011988658	0.0364445552403916	0.273099501195584	150
"24M"	"1"	"3"	0	75	0	0	0	0	0	4243.534338	248.035113	68.03089768	0	NA	"M"	NA	2	"2015"	0.0311739121839443	0.321361062356244	-0.709015946622002	-0.460122114685679	125
"18M"	"1"	"3"	50	0	0	0	0	0	0	24933.92274	7.563136324	30.29813586	0	NA	"M"	NA	0	"2015"	-0.0855322809030071	-0.124947758929536	0.28128206035661	0.941961226153541	0
"22M"	"1"	"3"	0	0	0	0	0	0	0	11499.84187	1.994444798	79.14735752	0	NA	"M"	NA	0	"2015"	-0.396339152352863	-0.0879095108610025	NA	NA	0
"110F"	"1"	"3"	75	0	25	0	0	0	0	NA	NA	NA	0	NA	"M"	NA	1	"2017"	NA	NA	1.08783163556957	-1.19203115843822	0
"15"	"2"	"1"	125	0	0	0	0	0	0	52276.30492	79.25351781	222.7684986	0	137	"M"	1361	0	"2010"	-0.19908801179823	-0.000535296144457369	0.28128206035661	0.941961226153541	0
